,,,,,
,ID,ITEMNBR,CLASS,SUBCLASS,DESC
,1,105125,36,93,GOOD HUMOR 00879 CLASSIC CHOC ALM       
,2,105126,36,93,GOOD HUMOR 01376 X-MEN BAR              
,3,105131,36,93,CREAMSICLE 02093 S.F. ORANGE            
,4,105136,36,93,GOOD HUMOR 00343 FUN BOX CRM BAR        
,5,278282,36,93,BETTY CROCKER 24500 CHOC I/C SANDWICH   
,6,342949,36,93,DOVE 00226 DARK VANILLA I/C BAR         
,7,435025,36,93,NESTLE DRUMSTICK CHOCOLATE              
,8,488891,36,93,NESTLE KING CRUNCH BAR                  
,9,488892,36,93,NESTLE STRAWBERRY SHORTCAKE BAR         
,10,488894,36,93,CARNATION VANILLA SANDWICH              
,11,488895,36,93,NESTLE PUSH UP RAINBOW                  
,12,488896,36,93,NESTLE ITZAKADOOZIE                     
,13,488899,36,93,CARNATION NEAPOLITAN SANDWICH           
,14,490507,36,93,FAT BOY ASSORTED ICE CREAM SANDWICHES   
,15,561594,36,93,WONDER CHOCOLATE CUP                    
,16,561598,36,93,CHAMP CONE VARIETY PACK                 
,17,561614,36,93,SNOW STORM COOKIES & CREAM CUP          
,18,561615,36,93,HEATH BAR ON A STICK                    
,19,561618,36,93,KING SIZE CHOCO ECLAIR                  
,20,561669,36,93,KING SIZE STRWBRY SHORTCAKE             
,21,561670,36,93,KING SIZE VANILLA CRUNCH                
,22,561671,36,93,BIG DOUBLE STRAW SANDWICH               
,23,561672,36,93,BIG NEO SANDWICH                        
,24,561673,36,93,BIG VANILLA SANDWICH                    
,25,561676,36,93,LOONEY TUNE RAINBOW TREAT PUSH-UP       
,26,562589,36,93,BIG MISSISSIPPI MUD SANDWICH            
,27,563733,36,93,DARIGOLD I/C BAR                        
,28,879729,36,93,POPSICLE S.F.LOWFAT BARS(RASP/WILD/STRW)
,29,567477,36,93,HAAGEN DAZS DULCE DE LECHE BAR          
,30,571876,36,93,NESTLE CKIES N CREAM CONES              
,31,576778,36,93,BLUE BUNNY CHAMP CONE                   
,32,579613,36,93,BLUE BUNNY CRUNCH BAR VANILLA 6CT       
,33,589280,36,93,SKINNY COW VAN/CHOC SANDWICH            
,34,592610,36,93,HELA 10005 JAMAICA BAR                  
,35,599124,36,93,NESTLE VAN FDGE CARAMEL DRMSTX          
,36,599184,36,93,KLONDIKE ORIG VANILLA BARS              
,37,600632,36,93,UNITED DAIRY FUDGE BAR                  
,38,600633,36,93,UNITED DAIRY ORANGE CRM BAR             
,39,600634,36,93,UNITED DAIRY ICE CREAM BAR              
,40,608925,36,93,HUMBOLDT CRISPY CRNCH BAR               
,41,610528,36,93,NESTLE VANILLA DRUMSTICK                
,42,615408,36,93,HELA 10055 VANILLA CREAM                
,43,626828,36,93,UNITED DAIRY I/C SANDWICH               
,44,632373,36,93,HELADOS ROMPOPE BARS                    
,45,632375,36,93,MOLLICOOLZ CHOCOLATE                    
,46,642715,36,93,HELA 10052 COCONUT CREAM                
,47,642873,36,93,HELADOS STRWBRY CREAM BAR               
,48,644703,36,93,HELA 10077 STRWBRY CREAM                
,49,645232,36,93,NESTLE DRUMSTICK CLUB PACK              
,50,658794,36,93,ESKIMO PIE NSA DARK CHOC BARS           
,51,662766,36,93,HELA 10058 ARROZ CON LECHE              
,52,662768,36,93,HELA 10060 COOKIES N CREAM              
,53,662769,36,93,HELA 10009 HORCHATA BAR                 
,54,662770,36,93,HELA 10056 BUBBLE GUM                   
,55,662775,36,93,HELA 10059 COFFEE                       
,56,669577,36,93,POPSICLE COL CRUNCH STRAW BARS          
,57,669659,36,93,GOOD HUMOR GIANT VANILLA I/C SNDWCH     
,58,671435,36,93,BEN & JERRY FLPD OUT P.B. CHOC          
,59,676055,36,93,HELA 10062 CHOCOLATITO                  
,60,678325,36,93,STARBUCKS COFFEE I/C CUPS               
,61,690539,36,93,DELUXE ORANGE CREAM BARS                
,62,690551,36,93,DELUXE ROOT BEER FLOAT IC BARS          
,63,690553,36,93,DELUXE FUDGE IC BARS                    
,64,692050,36,93,EDY'S CRML DELIGHT CUPS                 
